FILEID	ENTITYID	START	END	MENTION	SYSTEM	GOLD	VERDICT
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=69,79	69	79	Home Depot	http://it.wikipedia.org/wiki/Home_Depot	http://it.wikipedia.org/wiki/Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=105,113	105	113	NEW YORK	http://es.wikipedia.org/wiki/Nueva_York_%28estado%29	 http://dbpedia.org/resource/New_York_City	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=295,309	295	309	Home Depot Inc	http://it.wikipedia.org/wiki/Home_Depot	http://it.wikipedia.org/wiki/Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=315,335	315	335	Wal-Mart Stores Inc.	http://dbpedia.org/resource/WAL-MART	http://dbpedia.org/resource/WAL-MART	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=417,426	417	426	Dow Jones	http://en.wikipedia.org/wiki/Dow_Jones_&_Company	http://dbpedia.org/resource/Dow_Jones_Industrial	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=518,528	518	528	Home Depot	http://it.wikipedia.org/wiki/Home_Depot	http://it.wikipedia.org/wiki/Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=662,673	662	673	Wall Street	http://es.dbpedia.org/resource/Wall_Street	http://es.dbpedia.org/resource/Wall_Street	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=750,781	750	781	Institute for Supply Management	http://dbpedia.org/resource/Institute_of_supply_management	http://dbpedia.org/resource/Institute_of_supply_management	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=855,858	855	858	ISM	 http://ko.wikipedia.org/wiki/%EC%9D%B4%ED%83%88%EB%A6%AC%EC%95%84_%EC%82%AC%ED%9A%8C_%EC%9A%B4%EB%8F%99	http://dbpedia.org/resource/Institute_of_supply_management	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=939,949	939	949	Al Goldman	EMERGING ENTITY	EMERGING ENTITY	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=978,990	978	990	A.G. Edwards	http://en.wikipedia.org/wiki/Charles_G._Edwards	http://en.wikipedia.org/wiki/A.G._Edwards	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1115,1118	1115	1118	Dow	http://en.wikipedia.org/wiki/Dow_Jones_&_Company	http://dbpedia.org/resource/Dow_Jones_Industrial	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1269,1275	1269	1275	Nasdaq	http://cs.dbpedia.org/resource/NASDAQ	http://cs.dbpedia.org/resource/NASDAQ	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1328,1349	1328	1349	Standard & Poor’s 500	http://dbpedia.org/resource/S&P_500	http://dbpedia.org/resource/S&P_500	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1418,1424	1418	1424	Nasdaq	http://cs.dbpedia.org/resource/NASDAQ	http://cs.dbpedia.org/resource/NASDAQ	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1667,1670	1667	1670	ISM	 http://ko.wikipedia.org/wiki/%EC%9D%B4%ED%83%88%EB%A6%AC%EC%95%84_%EC%82%AC%ED%9A%8C_%EC%9A%B4%EB%8F%99	http://dbpedia.org/resource/Institute_of_supply_management	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1741,1771	1741	1771	Automatic Data Processing Inc.	http://dbpedia.org/resource/Automatic_Data_Proc.	http://dbpedia.org/resource/Automatic_Data_Proc.	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1772,1775	1772	1775	ADP	http://dbpedia.org/resource/Arab_Democratic_Party_of_Lebanon	http://dbpedia.org/resource/Automatic_Data_Proc.	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2158,2186	2158	2186	New York Mercantile Exchange	http://dbpedia.org/resource/Nymex	http://dbpedia.org/resource/Nymex	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2239,2252	2239	2252	United States	http://en.wikipedia.org/wiki/O'Hare_Modernization_Program	http://en.wikipedia.org/wiki/O'Hare_Modernization_Program	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2366,2380	2366	2380	Gerald R. Ford	http://dbpedia.org/resource/Gerald_Rudolph_Ford%2C_Jr.	http://dbpedia.org/resource/Gerald_Rudolph_Ford%2C_Jr.	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2382,2393	2382	2393	Wall Street	http://es.dbpedia.org/resource/Wall_Street	http://es.dbpedia.org/resource/Wall_Street	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2573,2576	2573	2576	ISM	 http://ko.wikipedia.org/wiki/%EC%9D%B4%ED%83%88%EB%A6%AC%EC%95%84_%EC%82%AC%ED%9A%8C_%EC%9A%B4%EB%8F%99	http://dbpedia.org/resource/Institute_of_supply_management	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2999,3018	2999	3018	Commerce Department	http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD%E5%95%86%E5%8B%99%E7%9C%81	http://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E5%90%88%E8%A1%86%E5%9B%BD%E5%95%86%E5%8B%99%E7%9C%81	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3194,3201	3194	3201	Goldman	EMERGING ENTITY	EMERGING ENTITY	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3277,3289	3277	3289	Bob Nardelli	 http://de.wikipedia.org/wiki/Robert_Nardelli	 http://de.wikipedia.org/wiki/Robert_Nardelli	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3411,3431	3411	3431	Wal-Mart Stores Inc.	http://dbpedia.org/resource/WAL-MART	http://dbpedia.org/resource/WAL-MART	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3563,3573	3563	3573	Home Depot	http://it.wikipedia.org/wiki/Home_Depot	http://it.wikipedia.org/wiki/Home_Depot	true
