FILEID	ENTITYID	START	END	MENTION	SYSTEM	GOLD	VERDICT
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=69,79	69	79	Home Depot	http://dbpedia.org/resource/The_Home_Depot	http://dbpedia.org/resource/The_Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=105,113	105	113	NEW YORK	http://dbpedia.org/resource/United_States	 http://dbpedia.org/resource/New_York_City	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=295,309	295	309	Home Depot Inc	http://dbpedia.org/resource/The_Home_Depot	http://dbpedia.org/resource/The_Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=315,335	315	335	Wal-Mart Stores Inc.	http://dbpedia.org/resource/Walmart	http://dbpedia.org/resource/Walmart	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=417,426	417	426	Dow Jones	http://dbpedia.org/resource/Dow_Jones_Industrial_Average	http://dbpedia.org/resource/Dow_Jones_Industrial_Average	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=518,528	518	528	Home Depot	http://dbpedia.org/resource/The_Home_Depot	http://dbpedia.org/resource/The_Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=662,673	662	673	Wall Street	http://dbpedia.org/resource/Wall_Street	http://dbpedia.org/resource/Wall_Street	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=750,781	750	781	Institute for Supply Management	http://dbpedia.org/resource/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=855,858	855	858	ISM	http://dbpedia.org/resource/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=939,949	939	949	Al Goldman	http://dbpedia.org/resource/Goldman_Sachs	EMERGING ENTITY	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=978,990	978	990	A.G. Edwards	http://dbpedia.org/resource/A._G._Edwards	http://dbpedia.org/resource/A._G._Edwards	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1115,1118	1115	1118	Dow	http://dbpedia.org/resource/Dow_Jones_Industrial_Average	http://dbpedia.org/resource/Dow_Jones_Industrial_Average	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1269,1275	1269	1275	Nasdaq	http://dbpedia.org/resource/NASDAQ	http://dbpedia.org/resource/NASDAQ	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1328,1349	1328	1349	Standard & Poor’s 500	EMERGING ENTITY	http://dbpedia.org/resource/S&P_500	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1418,1424	1418	1424	Nasdaq	http://dbpedia.org/resource/NASDAQ	http://dbpedia.org/resource/NASDAQ	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1667,1670	1667	1670	ISM	http://dbpedia.org/resource/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1741,1771	1741	1771	Automatic Data Processing Inc.	http://dbpedia.org/resource/Automatic_Data_Processing	http://dbpedia.org/resource/Automatic_Data_Processing	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=1772,1775	1772	1775	ADP	http://dbpedia.org/resource/Automatic_Data_Processing	http://dbpedia.org/resource/Automatic_Data_Processing	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2158,2186	2158	2186	New York Mercantile Exchange	http://dbpedia.org/resource/New_York_Mercantile_Exchange	http://dbpedia.org/resource/New_York_Mercantile_Exchange	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2239,2252	2239	2252	United States	http://dbpedia.org/resource/United_States	http://dbpedia.org/resource/United_States	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2366,2380	2366	2380	Gerald R. Ford	http://dbpedia.org/resource/Gerald_Ford	http://dbpedia.org/resource/Gerald_Ford	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2382,2393	2382	2393	Wall Street	http://dbpedia.org/resource/Wall_Street	http://dbpedia.org/resource/Wall_Street	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2573,2576	2573	2576	ISM	http://dbpedia.org/resource/Institute_for_Supply_Management	http://dbpedia.org/resource/Institute_for_Supply_Management	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=2999,3018	2999	3018	Commerce Department	http://dbpedia.org/resource/United_States_Department_of_Commerce	http://dbpedia.org/resource/United_States_Department_of_Commerce	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3194,3201	3194	3201	Goldman	http://dbpedia.org/resource/Goldman_Sachs	EMERGING ENTITY	false
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3277,3289	3277	3289	Bob Nardelli	http://dbpedia.org/resource/Robert_Nardelli	http://dbpedia.org/resource/Robert_Nardelli	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3411,3431	3411	3431	Wal-Mart Stores Inc.	http://dbpedia.org/resource/Walmart	http://dbpedia.org/resource/Walmart	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3563,3573	3563	3573	Home Depot	http://dbpedia.org/resource/The_Home_Depot	http://dbpedia.org/resource/The_Home_Depot	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3610,3618	3610	3618	Wal-Mart	http://dbpedia.org/resource/Walmart	http://dbpedia.org/resource/Walmart	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3684,3700	3684	3700	Cytokinetics Inc	EMERGING ENTITY	http://vu.nl/unknown/Cytokinetics_Inc	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3767,3776	3767	3776	Amgen Inc	http://dbpedia.org/resource/Amgen	http://dbpedia.org/resource/Amgen	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3820,3825	3820	3825	Amgen	http://dbpedia.org/resource/Amgen	http://dbpedia.org/resource/Amgen	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=3854,3880	3854	3880	Sirius Satellite Radio Inc	http://dbpedia.org/resource/Sirius_Satellite_Radio	http://dbpedia.org/resource/Sirius_Satellite_Radio	true
1	http://www.aksw.org/gerbil/NifWebService/request_0#char=4026,4051	4026	4051	Goodyear Tire & Rubber Co	http://dbpedia.org/resource/Goodyear_Tire_and_Rubber_Company	http://dbpedia.org/resource/Goodyear_Tire_and_Rubber_Company	true
